temp,Column1,label
37.1,2.4166359,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
37.4,2.4166359,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
40.8,2.4166359,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
50.6,2.4166359,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
51.9,2.4166359,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
52.2,2.4166359,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
36.5,2.5317138,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
73.5,2.5317138,Shirt | Shorts | Light Air
44.2,2.6467917,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
46,2.6467917,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
15.2,2.7618696,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
15.2,2.7618696,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
25.8,2.7618696,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
32,2.7618696,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
33.5,2.7618696,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
40.4,2.7618696,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
41.7,2.7618696,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
52.8,2.7618696,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
52.9,2.7618696,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
43.1,2.8769475,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
50.9,2.8769475,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
56,2.8769475,Shirt | Pants | Jacket | Long Sleeves | Light Air
59,2.8769475,Shirt | Pants | Jacket | Long Sleeves | Light Air
34.9,2.9920254,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Air
51.6,2.9920254,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Light Air 
74.4,2.9920254,Shirt | Shorts | Light Air
29.3,3.1071033,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Light Breeze
